2021-09-26 13:23 [ WARN]          UserStatusFilter:    42 - UserStatusFilter go to login
2021-09-26 13:24 [DEBUG]          LoginUserServlet:    36 - Forward login
2021-09-26 13:24 [ WARN]          UserStatusFilter:    39 - UserStatusFilter chain NULL
2021-09-26 13:24 [DEBUG]               UserDaoImpl:    95 - findUserByEmail started
2021-09-26 13:24 [ WARN]                 DBManager:    38 - Creating new instance db
2021-09-26 13:24 [ WARN]                 DBManager:    47 - Set DataSource properties
2021-09-26 13:24 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:24 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:24 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:24 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:24 [DEBUG]               UserDaoImpl:   115 - UserDAO findUserByEmail finished
2021-09-26 13:24 [ WARN]           UserServiceImpl:    49 - started getUserByEmail
2021-09-26 13:24 [ INFO]          LoginUserServlet:    48 - Login to /FinalProject/account
2021-09-26 13:24 [ INFO]          LoginUserServlet:    49 - Login#doPost Finished
2021-09-26 13:24 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:24 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:24 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:24 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:24 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:24 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:24 [ WARN]           UserServiceImpl:    32 - started getUserById
2021-09-26 13:24 [ WARN]          UserStatusFilter:    35 - UserStatusFilter chain UNLOCKED
2021-09-26 13:24 [ INFO]            AccountServlet:    20 - go to account.jsp
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]           UserServiceImpl:    32 - started getUserById
2021-09-26 13:26 [ WARN]          UserStatusFilter:    35 - UserStatusFilter chain UNLOCKED
2021-09-26 13:26 [ WARN]       AuthorizationFilter:    37 - AuthorizationFilter no commonServlets
2021-09-26 13:26 [ WARN]       AuthorizationFilter:    50 - AuthorizationFilter chain not userServlets
2021-09-26 13:26 [ INFO]            AddCardServlet:    20 - go to addCard.jsp
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]           UserServiceImpl:    32 - started getUserById
2021-09-26 13:26 [ WARN]          UserStatusFilter:    35 - UserStatusFilter chain UNLOCKED
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]           UserServiceImpl:    32 - started getUserById
2021-09-26 13:26 [ WARN]          UserStatusFilter:    35 - UserStatusFilter chain UNLOCKED
2021-09-26 13:26 [ WARN]    UserVerificationFilter:    22 - started UserVerificationFilter
2021-09-26 13:26 [ WARN]       AuthorizationFilter:    37 - AuthorizationFilter no commonServlets
2021-09-26 13:26 [ WARN]       AuthorizationFilter:    50 - AuthorizationFilter chain not userServlets
2021-09-26 13:26 [ WARN]          CountServiceImpl:    80 - started getUserCounts
2021-09-26 13:26 [DEBUG]              CountDaoImpl:   360 - CountDao getUserCounts started
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   100 - CardDao findCardById started
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   119 - CardDAO findCardById finished
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   100 - CardDao findCardById started
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   119 - CardDAO findCardById finished
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   100 - CardDao findCardById started
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   119 - CardDAO findCardById finished
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   100 - CardDao findCardById started
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   119 - CardDAO findCardById finished
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   100 - CardDao findCardById started
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               CardDaoImpl:   119 - CardDAO findCardById finished
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:26 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:26 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:26 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:26 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:26 [DEBUG]              CountDaoImpl:   380 - CountDAO getUserCounts finished
2021-09-26 13:26 [DEBUG]            PaymentServlet:    39 - Forward to create payment
2021-09-26 13:27 [DEBUG]               UserDaoImpl:    68 - findUserById started
2021-09-26 13:27 [ INFO]               UserDaoImpl:   232 - UserDaoImpl fill user success
2021-09-26 13:27 [ WARN]                 DBManager:    97 - Closing Connection
2021-09-26 13:27 [ WARN]                 DBManager:    86 - Closing Statement
2021-09-26 13:27 [ WARN]                 DBManager:    75 - Closing ResultSet
2021-09-26 13:27 [DEBUG]               UserDaoImpl:    88 - UserDAO findUserById finished
2021-09-26 13:27 [ WARN]           UserServiceImpl:    32 - started getUserById
2021-09-26 13:27 [ WARN]          UserStatusFilter:    35 - UserStatusFilter chain UNLOCKED
2021-09-26 13:27 [ WARN]       AuthorizationFilter:    37 - AuthorizationFilter no commonServlets
2021-09-26 13:27 [ WARN]       AuthorizationFilter:    50 - AuthorizationFilter chain not userServlets
2021-09-26 13:27 [DEBUG]      CreatePaymentServlet:    51 - starting create payment
